,Cooperator,Alternator,TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik,SteinAndRapoport,Grudger,Davis,RevisedDowning,Feld,Joss,Tullock,Random
Cooperator,"[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]"
Alternator,"[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[80.0, 0.0, 20.0]","[0.0, 100.0, 0.0]","[80.0, 0.0, 20.0]","[100.0, 0.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 99.3988321909114, 0.6011678090886011]","[0.20157400355420158, 97.77152235976061, 2.026903636685188]","[17.452896671250606, 75.69263941576646, 6.854463912982932]","[46.32300396817365, 44.72563172434569, 8.95136430748066]"
TitForTat,"[0.0, 0.0, 100.0]","[0.0, 80.0, 20.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 99.60396039603961, 0.39603960396039606]","[0.0, 92.13145080270483, 7.868549197295181]","[0.0, 48.156483264377144, 51.84351673562285]"
TidemanAndChieruzzi,"[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 12.234466476714053, 87.76553352328594]","[0.0, 20.232009403480713, 79.7679905965193]","[80.40535750063052, 1.4132024268876116, 18.181440072481884]","[100.0, 0.0, 0.0]"
Nydegger,"[0.0, 0.0, 100.0]","[0.0, 80.0, 20.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]"
Grofman,"[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[1.9061694119890895, 96.4786943103893, 1.6151362776216065]","[1.312650269551842, 98.48577572689395, 0.20157400355420158]"
Shubik,"[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 81.15957156732739, 18.840428432672606]","[0.0, 73.00807529819294, 26.99192470180707]","[4.85489698796464, 91.92940711026795, 3.2156959017674054]","[100.0, 0.0, 0.0]"
SteinAndRapoport,"[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 87.04352960734207, 12.956470392657934]","[0.0, 71.32033441302649, 28.679665586973517]","[10.162491734392908, 80.22325549733463, 9.61425276827244]","[99.3902521060384, 0.405660948757898, 0.20408694520369647]"
Grudger,"[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 5.864051297060707, 94.13594870293929]","[0.0, 9.138330350020555, 90.86166964997945]","[99.491774948678, 0.10256410256410256, 0.405660948757898]","[100.0, 0.0, 0.0]"
Davis,"[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 6.540923160005552, 93.45907683999445]","[0.0, 31.319981160897168, 68.68001883910283]","[98.88551068166973, 0.0, 1.1144893183302758]","[100.0, 0.0, 0.0]"
