,Cooperator,Alternator,TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik,SteinAndRapoport,Grudger,Davis,RevisedDowning,Feld,Joss,Tullock,Random
Cooperator,"[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]"
Alternator,"[198.6, 0.0, 0.0]","[0.0, 0.0, 198.6]","[157.8, 0.0, 40.8]","[0.0, 198.6, 0.0]","[157.8, 0.0, 40.8]","[198.6, 0.0, 0.0]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[0.0, 197.4, 1.2]","[0.4, 194.2, 4.0]","[34.6, 150.4, 13.6]","[92.0, 88.8, 17.8]"
TitForTat,"[0.0, 0.0, 198.6]","[0.0, 157.8, 40.8]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 197.8, 0.8]","[0.0, 183.0, 15.6]","[0.0, 95.6, 103.0]"
TidemanAndChieruzzi,"[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[0.0, 0.0, 198.6]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[0.0, 0.0, 198.6]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[0.0, 24.4, 174.2]","[0.0, 40.2, 158.4]","[159.6, 2.8, 36.2]","[198.6, 0.0, 0.0]"
Nydegger,"[0.0, 0.0, 198.6]","[0.0, 157.8, 40.8]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]"
Grofman,"[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 198.6, 0.0]","[3.8, 191.6, 3.2]","[2.6, 195.6, 0.4]"
Shubik,"[0.0, 0.0, 198.6]","[198.6, 0.0, 0.0]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 161.2, 37.4]","[0.0, 145.0, 53.6]","[9.6, 182.6, 6.4]","[198.6, 0.0, 0.0]"
SteinAndRapoport,"[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[0.0, 0.0, 198.6]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[0.0, 0.0, 198.6]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[198.6, 0.0, 0.0]","[0.0, 172.8, 25.8]","[0.0, 141.6, 57.0]","[20.2, 159.4, 19.0]","[197.4, 0.8, 0.4]"
Grudger,"[0.0, 0.0, 198.6]","[198.6, 0.0, 0.0]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 11.6, 187.0]","[0.0, 18.2, 180.4]","[197.6, 0.2, 0.8]","[198.6, 0.0, 0.0]"
Davis,"[0.0, 0.0, 198.6]","[198.6, 0.0, 0.0]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 198.6, 0.0]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 0.0, 198.6]","[0.0, 13.0, 185.6]","[0.0, 62.2, 136.4]","[196.4, 0.0, 2.2]","[198.6, 0.0, 0.0]"
