,Champion,Eatherley,Tester,Tranquilizer,SecGrofman,Kluepfel,Borufsen,Cave,WmAdams,GraaskampKatzen,Weiner,Harrington,SecTidemanAndChieruzzi,Getzler,Leyvraz,White,Black,RichardHufford,Yamachi,Colbert,Mikkelson,Rowsam,Appold,Alternator
Champion,"[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 999.0, 1.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]"
Eatherley,"[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 969.0, 31.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 820.0, 180.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]"
Tester,"[1000.0, 0.0, 0.0]","[0.0, 0.0, 1000.0]","[1000.0, 1000.0, 0.0]","[0.0, 66.0, 934.0]","[1000.0, 0.0, 0.0]","[264.0, 75.0, 661.0]","[0.0, 0.0, 1000.0]","[493.0, 0.0, 507.0]","[1000.0, 0.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[342.0, 77.0, 581.0]","[0.0, 6.0, 994.0]","[1000.0, 0.0, 0.0]","[1000.0, 0.0, 0.0]","[0.0, 16.0, 984.0]","[1000.0, 0.0, 0.0]","[1000.0, 0.0, 0.0]","[1000.0, 0.0, 0.0]","[1000.0, 0.0, 0.0]","[1000.0, 0.0, 0.0]","[0.0, 491.0, 509.0]"
Tranquilizer,"[1000.0, 0.0, 0.0]","[1000.0, 0.0, 0.0]","[74.0, 0.0, 926.0]","[801.0, 801.0, 199.0]","[565.0, 399.0, 36.0]","[471.0, 390.0, 139.0]","[887.0, 0.0, 113.0]","[992.0, 0.0, 8.0]","[456.0, 430.0, 114.0]","[45.0, 259.0, 696.0]","[881.0, 33.0, 86.0]","[320.0, 487.0, 193.0]","[507.0, 196.0, 297.0]","[422.0, 471.0, 107.0]","[1.0, 999.0, 0.0]","[1000.0, 0.0, 0.0]","[1000.0, 0.0, 0.0]","[101.0, 810.0, 89.0]","[999.0, 0.0, 1.0]","[0.0, 995.0, 5.0]","[1000.0, 0.0, 0.0]","[997.0, 2.0, 1.0]","[815.0, 148.0, 37.0]","[0.0, 1000.0, 0.0]"
SecGrofman,"[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[403.0, 564.0, 33.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[481.0, 417.0, 102.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[1000.0, 0.0, 0.0]"
Kluepfel,"[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[78.0, 238.0, 684.0]","[378.0, 501.0, 121.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[136.0, 268.0, 596.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[335.0, 463.0, 202.0]","[0.0, 0.0, 1000.0]","[185.0, 309.0, 506.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[808.0, 191.0, 1.0]"
Borufsen,"[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 911.0, 89.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[1000.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 15.0, 985.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]"
Cave,"[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 494.0, 506.0]","[0.0, 993.0, 7.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 505.0, 495.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 935.0, 65.0]","[0.0, 0.0, 1000.0]","[0.0, 488.0, 512.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[1000.0, 0.0, 0.0]"
WmAdams,"[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[405.0, 470.0, 125.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 1000.0, 0.0]"
GraaskampKatzen,"[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[233.0, 45.0, 722.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 11.0, 989.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[0.0, 0.0, 1000.0]","[1000.0, 0.0, 0.0]"
