,Cooperator,Alternator,TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik,SteinAndRapoport,Grudger,Davis,RevisedDowning,Feld,Joss,Tullock,Random
Cooperator,"[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]"
Alternator,"[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[0, 1000, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[19, 973, 8]","[461, 486, 53]"
TitForTat,"[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 997, 3]","[0, 507, 493]"
TidemanAndChieruzzi,"[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 132, 868]","[0, 188, 812]","[816, 13, 171]","[1000, 0, 0]"
Nydegger,"[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]"
Grofman,"[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[1, 998, 1]","[1, 998, 1]"
Shubik,"[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 990, 10]","[0, 867, 133]","[0, 1000, 0]","[1000, 0, 0]"
SteinAndRapoport,"[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 862, 138]","[0, 721, 279]","[27, 903, 70]","[1000, 0, 0]"
Grudger,"[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 67, 933]","[0, 102, 898]","[995, 0, 5]","[1000, 0, 0]"
Davis,"[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 61, 939]","[0, 304, 696]","[996, 0, 4]","[1000, 0, 0]"
RevisedDowning,"[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 997, 3]","[0, 919, 81]","[0, 1000, 0]","[882, 118, 0]"
Feld,"[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[124, 0, 876]","[1000, 0, 0]","[1000, 0, 0]","[993, 0, 7]","[864, 0, 136]","[60, 0, 940]","[68, 0, 932]","[997, 0, 3]","[750, 750, 250]","[66, 563, 371]","[539, 163, 298]","[1000, 0, 0]"
Joss,"[1000, 0, 0]","[999, 0, 1]","[1000, 0, 0]","[183, 0, 817]","[1000, 0, 0]","[1000, 0, 0]","[862, 0, 138]","[729, 0, 271]","[100, 0, 900]","[328, 0, 672]","[916, 0, 84]","[591, 61, 348]","[720, 720, 280]","[824, 27, 149]","[1000, 0, 0]"
Tullock,"[1000, 0, 0]","[971, 18, 11]","[995, 0, 5]","[8, 856, 136]","[1000, 0, 0]","[997, 3, 0]","[1000, 0, 0]","[887, 37, 76]","[0, 995, 5]","[2, 988, 10]","[1000, 0, 0]","[140, 565, 295]","[28, 829, 143]","[854, 854, 146]","[983, 15, 2]"
Random,"[1000, 0, 0]","[463, 482, 55]","[474, 0, 526]","[0, 1000, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 1000, 0]","[1, 998, 1]","[0, 1000, 0]","[0, 1000, 0]","[105, 895, 0]","[0, 1000, 0]","[0, 1000, 0]","[19, 974, 7]","[956, 956, 44]"
