,Cooperator,Alternator,TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik,SteinAndRapoport,Grudger,Davis,RevisedDowning,Feld,Joss,Tullock,Random
Cooperator,"[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]"
Alternator,"[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[0.0, 100.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[2.1, 97.2, 0.7000000000000001]","[49.0, 44.5, 6.5]"
TitForTat,"[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 99.8, 0.2]","[0.0, 49.6, 50.4]"
TidemanAndChieruzzi,"[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 14.000000000000002, 86.0]","[0.0, 19.8, 80.2]","[83.0, 1.3, 15.7]","[100.0, 0.0, 0.0]"
Nydegger,"[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]"
Grofman,"[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.1, 99.8, 0.1]","[0.2, 99.8, 0.0]"
Shubik,"[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 98.9, 1.0999999999999999]","[0.0, 87.5, 12.5]","[0.1, 99.8, 0.1]","[100.0, 0.0, 0.0]"
SteinAndRapoport,"[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 86.7, 13.3]","[0.0, 73.1, 26.900000000000002]","[2.8000000000000003, 90.3, 6.9]","[100.0, 0.0, 0.0]"
Grudger,"[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 7.6, 92.4]","[0.0, 10.6, 89.4]","[99.0, 0.0, 1.0]","[100.0, 0.0, 0.0]"
Davis,"[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 5.800000000000001, 94.19999999999999]","[0.0, 29.599999999999998, 70.39999999999999]","[99.2, 0.0, 0.8]","[100.0, 0.0, 0.0]"
RevisedDowning,"[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 99.8, 0.2]","[0.0, 92.10000000000001, 7.9]","[0.0, 100.0, 0.0]","[91.2, 8.799999999999999, 0.0]"
Feld,"[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[13.600000000000001, 0.0, 86.4]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[98.7, 0.0, 1.3]","[86.6, 0.0, 13.4]","[6.6000000000000005, 0.0, 93.4]","[6.6000000000000005, 0.0, 93.4]","[99.6, 0.0, 0.4]","[42.857142857142854, 42.857142857142854, 14.285714285714285]","[6.4, 59.5, 34.1]","[52.300000000000004, 16.5, 31.2]","[100.0, 0.0, 0.0]"
Joss,"[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[20.8, 0.0, 79.2]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[84.3, 0.0, 15.7]","[73.4, 0.0, 26.6]","[9.700000000000001, 0.0, 90.3]","[30.599999999999998, 0.0, 69.39999999999999]","[90.5, 0.0, 9.5]","[56.10000000000001, 5.5, 38.4]","[41.92799070847851, 41.92799070847851, 16.144018583042975]","[83.3, 4.1000000000000005, 12.6]","[100.0, 0.0, 0.0]"
Tullock,"[100.0, 0.0, 0.0]","[97.89999999999999, 1.0999999999999999, 1.0]","[99.9, 0.0, 0.1]","[1.0999999999999999, 81.2, 17.7]","[100.0, 0.0, 0.0]","[99.9, 0.0, 0.1]","[100.0, 0.0, 0.0]","[91.2, 3.5999999999999996, 5.2]","[0.0, 98.9, 1.0999999999999999]","[0.0, 99.5, 0.5]","[100.0, 0.0, 0.0]","[15.7, 55.00000000000001, 29.299999999999997]","[3.5999999999999996, 81.5, 14.899999999999999]","[47.368421052631575, 47.368421052631575, 5.263157894736842]","[97.8, 1.5, 0.7000000000000001]"
