,Cooperator,Alternator,TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik,SteinAndRapoport,Grudger,Davis,RevisedDowning,Feld,Joss,Tullock,Random
Cooperator,"[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]"
Alternator,"[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[0, 1000, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[21, 972, 7]","[490, 445, 65]"
TitForTat,"[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 998, 2]","[0, 496, 504]"
TidemanAndChieruzzi,"[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 140, 860]","[0, 198, 802]","[830, 13, 157]","[1000, 0, 0]"
Nydegger,"[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]"
Grofman,"[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[1, 998, 1]","[2, 998, 0]"
Shubik,"[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 989, 11]","[0, 875, 125]","[1, 998, 1]","[1000, 0, 0]"
SteinAndRapoport,"[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 867, 133]","[0, 731, 269]","[28, 903, 69]","[1000, 0, 0]"
Grudger,"[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 76, 924]","[0, 106, 894]","[990, 0, 10]","[1000, 0, 0]"
Davis,"[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 58, 942]","[0, 296, 704]","[992, 0, 8]","[1000, 0, 0]"
RevisedDowning,"[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 998, 2]","[0, 921, 79]","[0, 1000, 0]","[912, 88, 0]"
Feld,"[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[136, 0, 864]","[1000, 0, 0]","[1000, 0, 0]","[987, 0, 13]","[866, 0, 134]","[66, 0, 934]","[66, 0, 934]","[996, 0, 4]","[750, 750, 250]","[64, 595, 341]","[523, 165, 312]","[1000, 0, 0]"
Joss,"[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[208, 0, 792]","[1000, 0, 0]","[1000, 0, 0]","[843, 0, 157]","[734, 0, 266]","[97, 0, 903]","[306, 0, 694]","[905, 0, 95]","[561, 55, 384]","[722, 722, 278]","[833, 41, 126]","[1000, 0, 0]"
Tullock,"[1000, 0, 0]","[979, 11, 10]","[999, 0, 1]","[11, 812, 177]","[1000, 0, 0]","[999, 0, 1]","[1000, 0, 0]","[912, 36, 52]","[0, 989, 11]","[0, 995, 5]","[1000, 0, 0]","[157, 550, 293]","[36, 815, 149]","[900, 900, 100]","[978, 15, 7]"
Random,"[1000, 0, 0]","[473, 467, 60]","[496, 0, 504]","[0, 1000, 0]","[1000, 0, 0]","[999, 1, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[0, 1000, 0]","[91, 909, 0]","[0, 1000, 0]","[0, 1000, 0]","[23, 971, 6]","[959, 959, 41]"
