,Champion,Eatherley,Tester,Tranquilizer,SecGrofman,Kluepfel,Borufsen,Cave,WmAdams,GraaskampKatzen,Weiner,Harrington,SecTidemanAndChieruzzi,Getzler,Leyvraz,White,Black,RichardHufford,Yamachi,Colbert,Mikkelson,Rowsam,Appold
Champion,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
Eatherley,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 977, 23]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 814, 186]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
Tester,"[1000, 0, 0]","[0, 0, 1000]","[1000, 1000, 0]","[0, 77, 923]","[1000, 0, 0]","[284, 90, 626]","[0, 0, 1000]","[511, 0, 489]","[1000, 0, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[315, 98, 587]","[0, 1, 999]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]"
Tranquilizer,"[1000, 0, 0]","[1000, 0, 0]","[63, 0, 937]","[807, 807, 193]","[565, 396, 39]","[460, 417, 123]","[918, 0, 82]","[994, 0, 6]","[412, 453, 135]","[49, 226, 725]","[896, 27, 77]","[334, 457, 209]","[562, 201, 237]","[452, 442, 106]","[0, 1000, 0]","[1000, 0, 0]","[1000, 0, 0]","[91, 822, 87]","[1000, 0, 0]","[0, 996, 4]","[1000, 0, 0]","[998, 2, 0]","[830, 145, 25]"
SecGrofman,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[397, 569, 34]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[491, 389, 120]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
Kluepfel,"[0, 0, 1000]","[0, 0, 1000]","[91, 259, 650]","[394, 489, 117]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[182, 253, 565]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[295, 517, 188]","[0, 0, 1000]","[155, 312, 533]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
Borufsen,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 921, 79]","[0, 0, 1000]","[0, 0, 1000]","[1000, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
Cave,"[0, 0, 1000]","[0, 0, 1000]","[0, 519, 481]","[0, 995, 5]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 501, 499]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 927, 73]","[0, 0, 1000]","[0, 488, 512]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
WmAdams,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[448, 417, 135]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
GraaskampKatzen,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[241, 55, 704]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
Weiner,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[47, 884, 69]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]"
Harrington,"[1000, 0, 0]","[972, 0, 28]","[0, 0, 1000]","[454, 349, 197]","[389, 500, 111]","[251, 166, 583]","[0, 0, 1000]","[484, 0, 516]","[1000, 0, 0]","[0, 0, 1000]","[0, 0, 1000]","[400, 400, 600]","[0, 0, 1000]","[294, 218, 488]","[212, 43, 745]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[606, 292, 102]"
