,Champion,Eatherley,Tester,Tranquilizer,SecGrofman,Kluepfel,Borufsen,Cave,WmAdams,GraaskampKatzen,Weiner,Harrington,SecTidemanAndChieruzzi,Getzler,Leyvraz,White,Black,RichardHufford,Yamachi,Colbert,Mikkelson,Rowsam,Appold,Alternator
Champion,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]"
Eatherley,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 96.6, 3.4000000000000004]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 84.8, 15.2]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]"
Tester,"[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[50.0, 50.0, 0.0]","[0.0, 4.7, 95.3]","[100.0, 0.0, 0.0]","[24.7, 9.8, 65.5]","[0.0, 0.0, 100.0]","[48.4, 0.0, 51.6]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[33.0, 8.6, 58.4]","[0.0, 0.1, 99.9]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[0.0, 100.0, 0.0]"
Tranquilizer,"[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[5.2, 0.0, 94.8]","[44.81236203090508, 44.81236203090508, 10.375275938189846]","[56.599999999999994, 38.9, 4.5]","[46.6, 42.0, 11.4]","[90.8, 0.0, 9.2]","[99.8, 0.0, 0.2]","[45.1, 43.6, 11.3]","[4.3, 26.5, 69.19999999999999]","[88.7, 3.8, 7.5]","[34.699999999999996, 46.300000000000004, 19.0]","[53.5, 19.5, 27.0]","[46.2, 43.6, 10.2]","[0.0, 100.0, 0.0]","[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]","[7.5, 81.89999999999999, 10.6]","[100.0, 0.0, 0.0]","[0.0, 99.5, 0.5]","[99.8, 0.2, 0.0]","[99.7, 0.3, 0.0]","[82.69999999999999, 14.299999999999999, 3.0]","[0.0, 100.0, 0.0]"
SecGrofman,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[40.300000000000004, 56.00000000000001, 3.6999999999999997]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[47.3, 42.6, 10.100000000000001]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]"
Kluepfel,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[7.5, 25.7, 66.8]","[38.7, 48.0, 13.3]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[19.3, 23.400000000000002, 57.3]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[30.0, 52.0, 18.0]","[0.0, 0.0, 100.0]","[18.6, 31.0, 50.4]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[78.2, 21.7, 0.1]"
Borufsen,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 92.2, 7.8]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[50.0, 50.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]"
Cave,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 51.0, 49.0]","[0.0, 99.8, 0.2]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 53.400000000000006, 46.6]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 94.3, 5.7]","[0.0, 0.0, 100.0]","[0.0, 50.1, 49.9]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]"
WmAdams,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[43.7, 44.800000000000004, 11.5]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 100.0, 0.0]"
GraaskampKatzen,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[25.5, 5.3, 69.19999999999999]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]","[100.0, 0.0, 0.0]"
