,Champion,Eatherley,Tester,Tranquilizer,SecGrofman,Kluepfel,Borufsen,Cave,WmAdams,GraaskampKatzen,Weiner,Harrington,SecTidemanAndChieruzzi,Getzler,Leyvraz,White,Black,RichardHufford,Yamachi,Colbert,Mikkelson,Rowsam,Appold,Alternator
Champion,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]"
Eatherley,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 966, 34]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 848, 152]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]"
Tester,"[1000, 0, 0]","[0, 0, 1000]","[1000, 1000, 0]","[0, 47, 953]","[1000, 0, 0]","[247, 98, 655]","[0, 0, 1000]","[484, 0, 516]","[1000, 0, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[330, 86, 584]","[0, 1, 999]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 1000, 0]"
Tranquilizer,"[1000, 0, 0]","[1000, 0, 0]","[52, 0, 948]","[812, 812, 188]","[566, 389, 45]","[466, 420, 114]","[908, 0, 92]","[998, 0, 2]","[451, 436, 113]","[43, 265, 692]","[887, 38, 75]","[347, 463, 190]","[535, 195, 270]","[462, 436, 102]","[0, 1000, 0]","[1000, 0, 0]","[1000, 0, 0]","[75, 819, 106]","[1000, 0, 0]","[0, 995, 5]","[998, 2, 0]","[997, 3, 0]","[827, 143, 30]","[0, 1000, 0]"
SecGrofman,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[403, 560, 37]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[473, 426, 101]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[1000, 0, 0]"
Kluepfel,"[0, 0, 1000]","[0, 0, 1000]","[75, 257, 668]","[387, 480, 133]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[193, 234, 573]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[300, 520, 180]","[0, 0, 1000]","[186, 310, 504]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[782, 217, 1]"
Borufsen,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 922, 78]","[0, 0, 1000]","[0, 0, 1000]","[1000, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]"
Cave,"[0, 0, 1000]","[0, 0, 1000]","[0, 510, 490]","[0, 998, 2]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 534, 466]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 943, 57]","[0, 0, 1000]","[0, 501, 499]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[1000, 0, 0]"
WmAdams,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[437, 448, 115]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]"
GraaskampKatzen,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[255, 53, 692]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[1000, 0, 0]"
Weiner,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[38, 890, 72]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[1000, 0, 0]"
Harrington,"[1000, 0, 0]","[966, 0, 34]","[0, 0, 1000]","[468, 332, 200]","[424, 473, 103]","[258, 190, 552]","[0, 0, 1000]","[504, 0, 496]","[1000, 0, 0]","[0, 0, 1000]","[0, 0, 1000]","[432, 432, 568]","[0, 0, 1000]","[279, 232, 489]","[223, 51, 726]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[609, 255, 136]","[0, 1000, 0]"
SecTidemanAndChieruzzi,"[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[196, 540, 264]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[1000, 0, 0]"
Getzler,"[0, 0, 1000]","[0, 0, 1000]","[88, 303, 609]","[478, 419, 103]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[200, 299, 501]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[358, 493, 149]","[0, 0, 1000]","[181, 385, 434]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[402, 548, 50]"
Leyvraz,"[0, 0, 1000]","[0, 0, 1000]","[1, 0, 999]","[997, 0, 3]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[56, 214, 730]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[186, 350, 464]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 515, 485]"
White,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]"
Black,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]"
RichardHufford,"[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[826, 107, 67]","[1000, 0, 0]","[496, 324, 180]","[0, 0, 1000]","[934, 0, 66]","[1000, 0, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[487, 355, 158]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[1000, 1000, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 0, 0]","[954, 33, 13]","[0, 1000, 0]"
Yamachi,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[1000, 0, 0]"
Colbert,"[1000, 0, 0]","[823, 0, 177]","[0, 1000, 0]","[992, 0, 8]","[0, 0, 1000]","[297, 167, 536]","[0, 0, 1000]","[497, 0, 503]","[1000, 0, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[353, 215, 432]","[377, 175, 448]","[1000, 0, 0]","[1000, 0, 0]","[0, 0, 1000]","[1000, 0, 0]","[1000, 1000, 0]","[1000, 0, 0]","[1000, 0, 0]","[733, 206, 61]","[0, 1000, 0]"
Mikkelson,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[1, 999, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[1000, 0, 0]"
Rowsam,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[4, 996, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 1000, 0]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[1000, 0, 0]"
Appold,"[0, 0, 1000]","[0, 0, 1000]","[0, 1000, 0]","[124, 846, 30]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[306, 562, 132]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[41, 944, 15]","[0, 0, 1000]","[211, 714, 75]","[0, 0, 1000]","[0, 0, 1000]","[0, 0, 1000]","[208, 753, 39]"
Alternator,"[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 1000, 0]","[174, 822, 4]","[1000, 0, 0]","[0, 1000, 0]","[1000, 0, 0]","[0, 1000, 0]","[0, 1000, 0]","[1000, 0, 0]","[0, 1000, 0]","[555, 383, 62]","[493, 0, 507]","[1000, 0, 0]","[1000, 0, 0]","[1000, 0, 0]","[0, 1000, 0]","[1000, 0, 0]","[0, 1000, 0]","[0, 1000, 0]","[722, 231, 47]","[0, 0, 1000]"
